feat_ID,RT,Compound,H-MA_1,H-MA_2,H-MA_3,H-M-EC_1,H-M-EC_2,H-M-EC_3,H-M-T5_1,H-M-T5_2,H-M-T5_3,H-N-GE-WS_1,H-N-GE-WS_2,H-N-GE-WS_3,H-WI_1,H-WI_2,H-WI_3,C-MA_1,C-MA_2,C-MA_3,C-M-EC_1,C-M-EC_2,C-M-EC_3,C-M-T5_1,C-M-T5_2,C-M-T5_3,C-N-GE-WS_1,C-N-GE-WS_2,C-N-GE-WS_3,C-WI_1,C-WI_2,C-WI_3,Odour,Key Odorant,LRI Exp,LRI Teo,Delta_LRI,CAS_ID,InChIKey
49,18.61,Phenylacetaldehyde,4.96E+06,5.36E+06,2.02E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.94E+05,8.54E+05,3.90E+05,2.99E+07,4.16E+07,4.23E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E+06,1.95E+05,7.59E+05,4.18E+06,3.26E+06,3.26E+06,green,X,1632,1631,1,122-78-1,DTUQWGWMVIHBKE-UHFFFAOYSA-N
50,18.77,Safranal,6.49E+06,7.36E+06,1.16E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.04E+07,1.82E+07,1.98E+07,7.63E+07,7.56E+07,6.08E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.88E+06,2.91E+06,4.61E+06,6.86E+06,6.70E+06,6.99E+06,herbal,,1639,1622,17,116-26-7,SGAWOGXMMPSZPB-UHFFFAOYSA-N
51,18.86,Acetophenone,8.60E+07,6.84E+07,1.22E+08,1.48E+08,3.52E+08,4.10E+08,1.93E+08,2.48E+08,1.83E+08,1.44E+07,2.47E+07,2.45E+07,0.00E+00,0.00E+00,0.00E+00,2.81E+06,3.76E+06,5.86E+06,6.04E+07,5.14E+07,6.32E+07,4.74E+07,4.93E+07,5.80E+07,9.64E+06,1.09E+07,1.49E+07,6.28E+06,6.72E+06,5.48E+06,floral,,1643,1628,15,98-86-2,KWOLFJPFCHCOCG-UHFFFAOYSA-N
52,19.22,"2,5-dimethyl-3-(3-methylbutyl)-pyrazine",0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.83E+06,5.03E+06,4.83E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,fruity,,1658,1666,8,18433-98-2,WWAYKGYKYHEINT-UHFFFAOYSA-N
53,20.62,"2,5-dimethyl-benzaldehyde",4.72E+06,5.72E+06,1.07E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NC,,1720,1705,15,5779-94-2,SMUVABOERCFKRW-UHFFFAOYSA-N
54,21.44,alpha-alpha-dimethyl-benzenemethanol,0.00E+00,0.00E+00,0.00E+00,2.01E+07,2.12E+07,2.26E+07,1.24E+07,1.55E+07,1.12E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.59E+06,1.13E+06,1.43E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,green,,1758,1776,18,617-94-7,BDCFWIDZNLCTMF-UHFFFAOYSA-N
55,21.6,Methyl salicylate,6.14E+08,6.68E+08,1.20E+09,7.18E+07,6.18E+07,7.61E+07,1.35E+08,1.34E+08,8.55E+07,4.46E+08,3.14E+08,2.79E+08,5.13E+08,6.99E+08,8.35E+08,6.65E+07,8.70E+07,9.91E+07,1.92E+07,1.08E+07,1.59E+07,3.08E+07,1.97E+07,2.69E+07,7.66E+07,7.44E+07,8.97E+07,1.57E+08,1.63E+08,1.49E+08,minty,X,1765,1762,3,119-36-8,OSWPMRLSEDHDFF-UHFFFAOYSA-N
56,22.39,Ethyl Salicylate,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.79E+06,7.65E+06,5.66E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,minty,,1801,1798,3,118-61-6,GYCKQBWUSACYIF-UHFFFAOYSA-N
57,22.43,Nerol,6.89E+06,6.36E+06,2.04E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,floral,X,1803,1798,5,106-25-2,GLZPCOQZEFWAFX-YFHOEESVSA-N  
58,22.69,Phenethyl acetate,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.09E+06,9.77E+06,1.06E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,floral,,1816,1811,5,103-45-7,MDHYEMXUFSJLGV-UHFFFAOYSA-N
59,22.7,beta-Damascenone,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.54E+07,1.68E+07,1.34E+07,1.35E+07,1.80E+07,1.89E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E+06,1.03E+06,1.43E+06,0.00E+00,0.00E+00,0.00E+00,fruity,X,1816,1811,5,23726-93-4,POIARNZEYGURDG-FNORWQNLSA-N
60,22.79,1-(2-furanylmethyl)-1H-Pyrrole,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.96E+06,7.69E+06,8.38E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E+06,1.45E+06,1.40E+06,0.00E+00,0.00E+00,0.00E+00,vegetable,,1821,1820,1,1438-94-4,BTBFUBUCCJKJOZ-UHFFFAOYSA-N
61,23.06,Isopropyl dodecanoate,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E+07,1.61E+07,6.31E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NC,,1834,1821,13,10233-13-3,UJPPXNXOEVDSRW-UHFFFAOYSA-N
62,23.32,alpha-Ionone,3.15E+07,3.57E+07,7.14E+06,4.17E+07,4.80E+07,6.23E+07,3.03E+07,3.75E+07,2.31E+07,6.14E+07,5.13E+07,5.67E+07,6.21E+07,8.14E+07,9.04E+07,1.96E+06,2.76E+06,3.55E+06,3.91E+06,3.20E+06,4.13E+06,3.06E+06,2.02E+06,3.02E+06,6.60E+06,6.33E+06,7.80E+06,8.12E+06,8.71E+06,8.36E+06,floral,X,1846,1844,2,127-41-3,UZFLPKAIBPNNCA-BQYQJAHWSA-N
63,23.43,Geranylacetone,2.62E+07,2.95E+07,4.21E+06,3.87E+07,4.13E+07,5.48E+07,4.19E+07,5.15E+07,3.12E+07,4.12E+07,4.63E+07,4.75E+07,1.86E+07,2.50E+07,2.89E+07,1.33E+06,1.66E+06,2.03E+06,3.47E+06,2.34E+06,3.13E+06,4.12E+06,2.57E+06,3.55E+06,4.41E+06,4.80E+06,7.30E+06,2.68E+06,2.96E+06,2.72E+06,floral,,1851,1856,5,3796-70-1,HNZUNIKWNYHEJJ-FMIVXFBMSA-N
64,23.91,Benzenemethanol,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.84E+07,4.97E+07,5.42E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.52E+06,5.38E+06,5.05E+06,floral,X,1875,1881,6,100-51-6,KGYGBOORGRYDGQ-UHFFFAOYSA-N
65,24.65,Benzeneethanol,2.05E+07,2.16E+07,4.88E+07,1.05E+07,8.18E+06,1.11E+07,2.08E+07,2.45E+07,9.83E+06,6.57E+07,4.41E+07,3.39E+07,1.31E+08,1.75E+08,1.98E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.43E+06,5.22E+06,5.81E+06,1.41E+07,1.25E+07,1.33E+07,floral,X,1911,1914,4,60-12-8,WRMNZCZEMHIOCP-UHFFFAOYSA-N
66,24.9,2-Phenyl-2-butenal,1.14E+07,1.24E+07,1.78E+07,0.00E+00,0.00E+00,0.00E+00,5.46E+06,5.38E+06,3.45E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+06,1.12E+06,1.92E+06,0.00E+00,0.00E+00,0.00E+00,musty,,1923,1932,9,4411-89-6,DYAOGZLLMZQVHY-UHFFFAOYSA-N
67,25.13,trans-beta-Ionone,6.28E+07,6.96E+07,1.13E+08,5.30E+07,4.58E+07,5.81E+07,4.25E+07,4.33E+07,2.47E+07,1.14E+08,9.33E+07,9.22E+07,1.30E+08,1.74E+08,2.01E+08,2.54E+06,3.38E+06,4.35E+06,2.94E+06,1.94E+06,2.55E+06,2.87E+06,1.64E+06,2.03E+06,8.46E+06,7.62E+06,1.04E+07,1.10E+07,1.37E+07,1.24E+07,floral,X,1935,1937,3,79-77-6,PSQYTAPXSHCGMF-BQYQJAHWSA-N
68,25.78,2-Acetylpyrrole,2.71E+06,2.79E+06,8.35E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E+07,1.22E+07,1.48E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+06,1.90E+06,2.43E+06,0.00E+00,0.00E+00,0.00E+00,musty,,1967,1971,4,1072-83-9,IGJQUJNPMOYEJY-UHFFFAOYSA-N
69,25.9,1-Dodecanol,3.15E+07,3.66E+07,7.97E+07,8.77E+07,5.32E+07,5.93E+07,1.31E+08,1.62E+08,6.66E+07,8.03E+07,1.20E+08,1.14E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.85E+06,4.31E+06,4.30E+06,4.06E+06,2.52E+06,1.03E+06,waxy,,1973,1970,3,112-53-8,LQZZUXJYWNFBMV-UHFFFAOYSA-N
70,26.19,"beta-ionone 5,6-epoxide",0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.15E+07,2.20E+07,2.06E+07,1.59E+07,2.17E+07,2.56E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E+05,2.17E+05,1.30E+05,0.00E+00,0.00E+00,0.00E+00,fruity,,1988,1977,11,23267-57-4,ZTJZJYUGOJYHCU-RMKNXTFCSA-N
71,26.86,Gamma-nonalactone,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.23E+06,2.98E+06,3.81E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,coconut,,2021,2020,1,104-61-0,OALYTRUKMRCXNH-UHFFFAOYSA-N
72,27.14,Isopropyl myristate,4.61E+06,5.02E+06,1.31E+07,1.63E+07,1.16E+07,1.43E+07,3.23E+07,4.95E+07,1.60E+07,1.53E+07,2.16E+07,2.15E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.96E+05,1.10E+06,1.53E+06,0.00E+00,0.00E+00,0.00E+00,NC,,2035,2023,12,110-27-0,AXISYYRBXTVTFY-UHFFFAOYSA-N
73,27.56,Octanoic acid,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.83E+06,8.63E+06,3.66E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,fatty,X,2056,2069,13,124-07-2,WWZKQHOCKIZLMA-UHFFFAOYSA-N
74,27.74,5-Methyl-2-phenyl-2-hexenal,8.52E+06,1.02E+07,2.62E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,chocolate,,2065,2052,13,21834-92-4,YURDCJXYOLERLO-LCYFTJDESA-N
75,27.87,Triacetin,4.27E+06,3.85E+06,1.22E+07,6.46E+07,3.03E+07,3.31E+07,2.65E+06,2.95E+08,4.90E+07,2.86E+08,1.07E+08,2.57E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.30E+05,1.90E+05,5.28E+05,1.68E+06,5.71E+06,2.29E+06,1.51E+07,1.87E+06,7.88E+05,fruity,,2072,2077,6,102-76-1,URAYPUMNDPQOKB-UHFFFAOYSA-N
76,28.07,p-Cresol,2.46E+06,3.43E+06,5.32E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,phenolic,,2082,2089,8,106-44-5,IWDCLRJOBJJRNH-UHFFFAOYSA-N
77,28.37,"2,6-Di-tert-butyl-4-hydroxy-4-methylcyclohexa-2,5-dien-1-one",3.29E+06,3.97E+06,8.43E+06,0.00E+00,0.00E+00,0.00E+00,2.44E+07,2.42E+07,8.46E+06,2.93E+07,3.66E+07,3.72E+07,4.65E+06,6.04E+06,6.68E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,herbal,,2097,2094,3,10396-80-2,DQBHJILNHNRDTM-UHFFFAOYSA-N
78,28.79,Hexahydrofarnesyl acetone,4.77E+06,5.47E+06,1.54E+07,1.79E+07,1.31E+07,1.70E+07,2.49E+07,2.81E+07,1.80E+07,2.27E+07,2.89E+07,3.31E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.17E+05,5.06E+05,8.14E+05,0.00E+00,0.00E+00,0.00E+00,herabl,,2118,2110,8,502-69-2,WHWDWIHXSPCOKZ-UHFFFAOYSA-N
79,29.57,Nonanoic acid,2.18E+07,3.18E+07,4.75E+07,1.73E+07,2.33E+07,3.25E+07,0.00E+00,0.00E+00,0.00E+00,1.26E+07,6.81E+06,1.48E+07,3.05E+07,4.40E+07,3.12E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,waxy,X,2157,2169,13,112-05-0,FBUKVWPVBMHYJY-UHFFFAOYSA-N
80,29.78,1-Tetradecanol,6.36E+06,8.19E+06,1.64E+07,1.65E+07,1.01E+07,1.18E+07,3.30E+07,4.07E+07,1.70E+07,2.91E+07,3.06E+07,3.44E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,waxy,,2167,2169,2,112-72-1,HLZKNKRTKFSKGZ-UHFFFAOYSA-N
81,30.45,Methyl palmitate,3.28E+06,5.49E+05,6.41E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.75E+06,7.82E+05,1.70E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.92E+06,5.67E+05,5.46E+05,waxy,,2201,2202,2,112-39-0,FLIACVVOZYBSBS-UHFFFAOYSA-N
82,31.61,Methyl dihydrojasmonate,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E+07,1.14E+07,5.15E+06,9.34E+06,7.92E+06,1.00E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,floral,,2259,2262,4,24851-98-7,KVWWIYGFBYDJQC-UHFFFAOYSA-N
83,32.13,"2,4-Di-tert-butylphenol",2.87E+07,2.90E+07,4.26E+07,5.61E+07,5.04E+07,6.26E+07,2.35E+07,2.22E+07,4.03E+07,2.68E+07,2.22E+07,2.27E+07,4.73E+07,6.22E+07,6.53E+07,0.00E+00,0.00E+00,0.00E+00,2.62E+06,1.70E+06,2.52E+06,2.60E+06,1.62E+06,2.42E+06,2.93E+06,1.71E+06,4.05E+06,0.00E+00,0.00E+00,0.00E+00,NC,,2285,2280,5,96-76-4,ICKWICRCANNIBI-UHFFFAOYSA-N
84,32.52,Dihydroactinidiolide,5.37E+06,6.21E+06,1.25E+07,1.22E+07,1.13E+07,1.57E+07,0.00E+00,0.00E+00,0.00E+00,1.99E+07,1.60E+07,1.54E+07,2.01E+07,2.62E+07,3.15E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,fruity,X,2304,2315,11,17092-92-1,IMKHDCBNRDRUEB-LLVKDONJSA-N
85,34.09,Methyl stearate,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.81E+06,7.43E+05,9.94E+05,waxy,,2383,2409,26,112-61-8,HPEUJPJOZXNMSJ-UHFFFAOYSA-N
